outcome_variable,trait,interaction_p_value,interaction_coef,significant
belief_changes,openness,0.6782234895624151,-0.05070628693167995,False
belief_changes,conscientiousness,0.7426636432335281,0.04178069609906292,False
belief_changes,extraversion,0.7221609212484107,0.03833878964180948,False
belief_changes,agreeableness,0.882254894309218,0.019368912891229106,False
belief_changes,neuroticism,0.23687396262012617,-0.12546640579365834,False
total_infected_time,openness,0.49445764649422363,0.23823970735139086,False
total_infected_time,conscientiousness,0.21125801717684325,-0.4553770819100688,False
total_infected_time,extraversion,0.3856103515800078,0.2671513049468015,False
total_infected_time,agreeableness,0.4700480413406236,-0.26968865773203576,False
total_infected_time,neuroticism,0.5878866167469025,-0.16334193862792742,False
resistance_index,openness,0.27270314741051577,-0.03434194740040032,False
resistance_index,conscientiousness,0.5809620495858048,0.017951443276074938,False
resistance_index,extraversion,0.2183470062030528,-0.03403566414254643,False
resistance_index,agreeableness,0.4736365696929552,-0.02396912541862537,False
resistance_index,neuroticism,0.41148932572197416,0.022205256729598832,False
recovery_index,openness,0.41423402672005494,-0.019804637666639292,False
recovery_index,conscientiousness,0.014696429739994828,0.06257338388612246,True
recovery_index,extraversion,0.5126465051274256,0.0140032191727926,False
recovery_index,agreeableness,0.7987675508971561,-0.006608421834338615,False
recovery_index,neuroticism,0.18818018804048214,-0.027691824297864945,False
